Message Payload in SQS,Log Message in CloudWatch,Query Start Time,Query End Time
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""2"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715510107,1614715570107
"{""clientId"":""CELADEV03"",""cid"":""181"",""bid"":""1"",""type"":""BID_AVAILABLE""}",222164 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715529171,1614715589171
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""93"",""type"":""BID_AVAILABLE""}",186982 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715487068,1614715547068
"{""clientId"":""CELADEV03"",""cid"":""71"",""bid"":""2"",""type"":""BID_AVAILABLE""}",246161 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715476087,1614715536087
"{""clientId"":""CELADEV03"",""cid"":""66"",""bid"":""4"",""type"":""BID_AVAILABLE""}",242469 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715448592,1614715508592
"{""clientId"":""CELADEV03"",""cid"":""127"",""bid"":""3"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715502293,1614715562293
"{""clientId"":""CELADEV03"",""cid"":""68"",""bid"":""1"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715503995,1614715563995
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""1"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715519762,1614715579762
"{""clientId"":""CELADEV03"",""cid"":""82"",""bid"":""2"",""type"":""BID_AVAILABLE""}",169788 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715517012,1614715577012
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""10"",""type"":""BID_AVAILABLE""}",171214 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715488986,1614715548986
"{""clientId"":""CELADEV03"",""cid"":""36"",""bid"":""1"",""type"":""BID_AVAILABLE""}",170744 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715522603,1614715582603
"{""clientId"":""CELADEV03"",""cid"":""193"",""bid"":""1"",""type"":""BID_AVAILABLE""}",184342 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715519177,1614715579177
"{""clientId"":""CELADEV03"",""cid"":""214"",""bid"":""1"",""type"":""BID_AVAILABLE""}",200580 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715508229,1614715568229
"{""clientId"":""CELADEV03"",""cid"":""182"",""bid"":""1"",""type"":""BID_AVAILABLE""}",203935 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715525637,1614715585637
"{""clientId"":""CELADEV03"",""cid"":""90"",""bid"":""3"",""type"":""BID_AVAILABLE""}",Log stream name is not found,1614715536067,1614715596067
"{""clientId"":""CELADEV03"",""cid"":""70"",""bid"":""5"",""type"":""BID_AVAILABLE""}",235101 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715523554,1614715583554
"{""clientId"":""CELADEV03"",""cid"":""188"",""bid"":""1"",""type"":""BID_AVAILABLE""}",254155 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715541258,1614715601258
"{""clientId"":""CELADEV03"",""cid"":""121"",""bid"":""2"",""type"":""BID_AVAILABLE""}",212047 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715578657,1614715638657
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""11"",""type"":""BID_AVAILABLE""}",201066 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715617816,1614715677816
"{""clientId"":""CELADEV03"",""cid"":""202"",""bid"":""2"",""type"":""BID_AVAILABLE""}",173554 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715609214,1614715669214
"{""clientId"":""CELADEV03"",""cid"":""132"",""bid"":""4"",""type"":""BID_AVAILABLE""}",227372 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715615938,1614715675938
"{""clientId"":""CELADEV03"",""cid"":""202"",""bid"":""5"",""type"":""BID_AVAILABLE""}",229152 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715564837,1614715624837
"{""clientId"":""CELADEV03"",""cid"":""75"",""bid"":""69"",""type"":""BID_AVAILABLE""}",244772 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715583994,1614715643994
"{""clientId"":""CELADEV03"",""cid"":""70"",""bid"":""6"",""type"":""BID_AVAILABLE""}",241998 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715571752,1614715631752
"{""clientId"":""CELADEV03"",""cid"":""106"",""bid"":""2"",""type"":""BID_AVAILABLE""}",213943 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715577143,1614715637143
"{""clientId"":""CELADEV03"",""cid"":""191"",""bid"":""1"",""type"":""BID_AVAILABLE""}",247578 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715615461,1614715675461
"{""clientId"":""CELADEV03"",""cid"":""201"",""bid"":""2"",""type"":""BID_AVAILABLE""}",244256 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715625752,1614715685752
"{""clientId"":""CELADEV03"",""cid"":""118"",""bid"":""13"",""type"":""BID_AVAILABLE""}",233180 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715665514,1614715725514
"{""clientId"":""CELADEV03"",""cid"":""72"",""bid"":""4"",""type"":""BID_AVAILABLE""}",250591 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715301519,1614715361519
"{""clientId"":""CELADEV03"",""cid"":""215"",""bid"":""1"",""type"":""BID_AVAILABLE""}",261018 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715317291,1614715377291
"{""clientId"":""CELADEV03"",""cid"":""116"",""bid"":""4"",""type"":""BID_AVAILABLE""}",248524 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715306810,1614715366810
"{""clientId"":""CELADEV03"",""cid"":""31"",""bid"":""22"",""type"":""BID_AVAILABLE""}",266229 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715340402,1614715400402
"{""clientId"":""CELADEV03"",""cid"":""209"",""bid"":""1"",""type"":""BID_AVAILABLE""}",303638 [main] ERROR com.celayix.consumer.AppServerProxy  - AppServer call returned error: ERROR: ; ,1614715359441,1614715419441
